"","Con_heridos","Con_muertos","Solo_danos","kmm.cluster","nivel_acc"
"Aguas Frias",65,0,3,2,"Grupo 2"
"Aldea Pablo VI",66,1,4,2,"Grupo 2"
"Alejandria",197,1,57,2,"Grupo 2"
"Alejandro Echavarria",720,4,56,4,"Grupo 4"
"Alfonso Lopez",818,4,52,4,"Grupo 4"
"Altamira",476,0,61,2,"Grupo 2"
"Altavista",221,3,23,2,"Grupo 2"
"Altavista Sector Central",199,2,7,2,"Grupo 2"
"Altos del Poblado",167,1,17,2,"Grupo 2"
"Andalucia",184,2,12,2,"Grupo 2"
"Antonio Narino",205,1,14,2,"Grupo 2"
"Aranjuez",312,2,20,2,"Grupo 2"
"Area De Expansion Altavista",28,0,2,2,"Grupo 2"
"Area de Expansion Altos de Calasanz",61,1,8,2,"Grupo 2"
"Area De Expansion Belen Rincon",2,0,6,2,"Grupo 2"
"Area de Expansion Pajarito",783,9,50,4,"Grupo 4"
"Area de Expansion San Antonio de Prado",59,2,3,2,"Grupo 2"
"Asomadera No. 1",389,5,86,4,"Grupo 4"
"Asomadera No. 2",225,0,95,2,"Grupo 2"
"Asomadera No. 3",59,1,12,2,"Grupo 2"
"Astorga",112,0,17,2,"Grupo 2"
"Aures No. 2",576,0,28,2,"Grupo 2"
"Aures No.1",453,1,21,2,"Grupo 2"
"B. Cerro  El Volador",137,2,18,2,"Grupo 2"
"Barrio Caicedo",669,5,59,4,"Grupo 4"
"Barrio Colombia",553,5,141,4,"Grupo 4"
"Barrio Colon",1778,18,454,1,"Grupo 1"
"Barrio Cristobal",93,1,12,2,"Grupo 2"
"Barrio de Jesus",283,2,27,2,"Grupo 2"
"Batallon Girardot",10,0,0,2,"Grupo 2"
"Belalcazar",394,0,63,2,"Grupo 2"
"Belen",1244,8,301,3,"Grupo 3"
"Belencito",132,1,4,2,"Grupo 2"
"Bello Horizonte",214,2,15,2,"Grupo 2"
"Berlin",699,6,66,4,"Grupo 4"
"Bermejal-Los Alamos",184,2,12,2,"Grupo 2"
"Betania",96,2,4,2,"Grupo 2"
"Blanquizal",58,1,5,2,"Grupo 2"
"Bolivariana",397,4,90,4,"Grupo 4"
"Bombona No. 1",656,7,145,4,"Grupo 4"
"Bombona No. 2",264,1,40,2,"Grupo 2"
"Boqueron",0,0,0,2,"Grupo 2"
"Bosques de San Pablo",180,0,28,2,"Grupo 2"
"Boston",1453,11,176,3,"Grupo 3"
"Boyaca",476,1,44,2,"Grupo 2"
"Brasilia",452,2,29,2,"Grupo 2"
"Buenos Aires",729,0,74,4,"Grupo 4"
"Buga Patio Bonito",32,0,2,2,"Grupo 2"
"Cabecera San Antonio de Prado",2128,41,285,1,"Grupo 1"
"Cabecera Urbana San Cristobal",478,6,29,4,"Grupo 4"
"Calasanz",433,2,85,4,"Grupo 4"
"Calasanz Parte Alta",281,1,37,2,"Grupo 2"
"Calle Nueva",755,7,224,3,"Grupo 3"
"Campo Alegre",461,3,31,2,"Grupo 2"
"Campo Amor",2428,27,549,1,"Grupo 1"
"Campo Valdes No. 1",1118,8,71,4,"Grupo 4"
"Campo Valdes No. 2",917,1,20,4,"Grupo 4"
"Caribe",2495,24,402,1,"Grupo 1"
"Carlos E. Restrepo",1548,11,331,3,"Grupo 3"
"Carpinelo",122,0,4,2,"Grupo 2"
"Castilla",2178,10,111,3,"Grupo 3"
"Castropol",618,3,136,4,"Grupo 4"
"Cataluna",170,0,29,2,"Grupo 2"
"Cementerio Universal",119,0,26,2,"Grupo 2"
"Centro Administrativo",186,2,31,2,"Grupo 2"
"Cerro Nutibara",626,8,104,4,"Grupo 4"
"Corazon de Jesus",1083,26,275,3,"Grupo 3"
"Cordoba",422,1,33,2,"Grupo 2"
"Cristo Rey",1195,18,188,3,"Grupo 3"
"Cuarta Brigada",719,6,110,4,"Grupo 4"
"Cucaracho",780,4,48,4,"Grupo 4"
"Diego Echavarria",247,3,30,2,"Grupo 2"
"Doce de Octubre No.1",459,3,18,2,"Grupo 2"
"Doce de Octubre No.2",551,4,23,4,"Grupo 4"
"Eduardo Santos",37,0,4,2,"Grupo 2"
"El Astillero",4,0,0,2,"Grupo 2"
"El Castillo",166,1,45,2,"Grupo 2"
"El Chagualo",1118,22,184,3,"Grupo 3"
"El Compromiso",118,0,7,2,"Grupo 2"
"El Corazon",102,2,7,2,"Grupo 2"
"El Corazon El Morro",11,0,1,2,"Grupo 2"
"El Danubio",282,4,24,2,"Grupo 2"
"El Diamante",832,1,47,4,"Grupo 4"
"El Diamante No. 2",109,0,43,2,"Grupo 2"
"El Estadio",638,3,93,4,"Grupo 4"
"El Llano SE",0,0,1,2,"Grupo 2"
"El Nogal-Los Almendros",212,4,45,2,"Grupo 2"
"El Pesebre",170,2,18,2,"Grupo 2"
"El Picacho",20,0,1,2,"Grupo 2"
"El Pinal",409,0,32,2,"Grupo 2"
"El Plan",2,0,0,2,"Grupo 2"
"El Poblado",546,4,246,4,"Grupo 4"
"El Pomar",322,1,19,2,"Grupo 2"
"El Progreso",1007,2,172,4,"Grupo 4"
"El Progreso No.2",105,1,5,2,"Grupo 2"
"El Raizal",460,1,37,2,"Grupo 2"
"El Rincon",652,1,73,4,"Grupo 4"
"El Rodeo",128,2,8,2,"Grupo 2"
"El Salado",148,0,5,2,"Grupo 2"
"El Salvador",437,0,34,2,"Grupo 2"
"El Socorro",60,2,2,2,"Grupo 2"
"El Tesoro",300,0,84,2,"Grupo 2"
"El Triunfo",53,0,4,2,"Grupo 2"
"El Uvito",1,0,0,2,"Grupo 2"
"El Velodromo",428,2,65,4,"Grupo 4"
"El Vergel",5,0,1,2,"Grupo 2"
"Enciso",533,2,32,4,"Grupo 4"
"Estacion Villa",819,12,117,4,"Grupo 4"
"Facultad de Minas U. Nacional",787,1,94,4,"Grupo 4"
"Facultad Veterinaria y Zootecnia U.de.A.",96,0,12,2,"Grupo 2"
"Fatima",674,3,98,4,"Grupo 4"
"Ferrini",168,1,30,2,"Grupo 2"
"Florencia",269,1,21,2,"Grupo 2"
"Florida Nueva",511,3,88,4,"Grupo 4"
"Francisco Antonio Zea",420,0,32,2,"Grupo 2"
"Fuente Clara",139,2,4,2,"Grupo 2"
"Gerona",381,0,30,2,"Grupo 2"
"Girardot",704,3,50,4,"Grupo 4"
"Granada",260,2,46,2,"Grupo 2"
"Granizal",229,3,19,2,"Grupo 2"
"Guayabal",1250,12,173,3,"Grupo 3"
"Guayaquil",1437,27,378,1,"Grupo 1"
"Hector Abad Gomez",752,12,87,4,"Grupo 4"
"Hospital San Vicente de Paul",78,0,7,2,"Grupo 2"
"Jardin Botanico",116,2,22,2,"Grupo 2"
"Jesus Nazareno",1196,22,190,3,"Grupo 3"
"Juan Pablo II",38,0,1,2,"Grupo 2"
"Juan XXIII La Quiebra",123,1,7,2,"Grupo 2"
"Kennedy",730,1,51,4,"Grupo 4"
"La Aguacatala",968,9,201,3,"Grupo 3"
"La Alpujarra",1037,12,305,3,"Grupo 3"
"La America",755,9,94,4,"Grupo 4"
"La Avanzada",162,0,15,2,"Grupo 2"
"La Candelaria",2457,25,631,1,"Grupo 1"
"La Castellana",417,3,93,4,"Grupo 4"
"La Colina",385,5,53,4,"Grupo 4"
"La Cruz",101,1,8,2,"Grupo 2"
"La Esperanza",621,3,47,4,"Grupo 4"
"La Esperanza No. 2",155,1,7,2,"Grupo 2"
"La Floresta",502,4,48,4,"Grupo 4"
"La Florida",354,2,120,4,"Grupo 4"
"La Francia",243,0,17,2,"Grupo 2"
"La Frisola",2,0,0,2,"Grupo 2"
"La Frontera",165,1,15,2,"Grupo 2"
"La Gloria",630,1,68,4,"Grupo 4"
"La Hondonada",125,0,20,2,"Grupo 2"
"La Isla",166,4,9,2,"Grupo 2"
"La Ladera",49,0,3,2,"Grupo 2"
"La Libertad",278,0,30,2,"Grupo 2"
"La Loma",25,0,2,2,"Grupo 2"
"La Loma Oriental",50,0,0,2,"Grupo 2"
"La Mansion",248,0,32,2,"Grupo 2"
"La Milagrosa",376,4,44,4,"Grupo 4"
"La mota",354,2,35,2,"Grupo 2"
"La Oculta",27,1,5,2,"Grupo 2"
"La Palma",352,3,54,2,"Grupo 2"
"La Pilarica",412,2,56,2,"Grupo 2"
"La Pinuela",312,1,21,2,"Grupo 2"
"La Pradera",316,2,21,2,"Grupo 2"
"La Rosa",224,2,8,2,"Grupo 2"
"La Salle",483,3,19,2,"Grupo 2"
"La Sierra",18,0,0,2,"Grupo 2"
"La Verde",44,0,11,2,"Grupo 2"
"Lalinde",68,0,13,2,"Grupo 2"
"Las Acacias",719,3,131,4,"Grupo 4"
"Las Brisas",720,8,72,4,"Grupo 4"
"Las Esmeraldas",222,3,7,2,"Grupo 2"
"Las Estancias",266,1,17,2,"Grupo 2"
"Las Granjas",939,5,56,4,"Grupo 4"
"Las Independencias",71,0,1,2,"Grupo 2"
"Las Lomas No.1",246,1,68,2,"Grupo 2"
"Las Lomas No.2",164,0,60,2,"Grupo 2"
"Las Mercedes",226,0,21,2,"Grupo 2"
"Las Palmas",406,7,52,4,"Grupo 4"
"Las Playas",377,2,35,2,"Grupo 2"
"Las Violetas",248,5,19,2,"Grupo 2"
"Laureles",803,8,131,4,"Grupo 4"
"Llanaditas",66,0,6,2,"Grupo 2"
"Loma de los Bernal",232,1,50,2,"Grupo 2"
"Lopez de Mesa",763,2,40,4,"Grupo 4"
"Lorena",490,7,92,4,"Grupo 4"
"Loreto",583,3,59,4,"Grupo 4"
"Los Alcazares",325,5,33,2,"Grupo 2"
"Los Alpes",315,1,27,2,"Grupo 2"
"Los Angeles",813,6,90,4,"Grupo 4"
"Los Balsos No.1",156,4,62,2,"Grupo 2"
"Los Balsos No.2",233,0,72,2,"Grupo 2"
"Los Cerros El Vergel",161,1,12,2,"Grupo 2"
"Los Colores",1692,12,189,3,"Grupo 3"
"Los Conquistadores",1821,21,385,1,"Grupo 1"
"Los Mangos",442,4,32,4,"Grupo 4"
"Los Naranjos",233,1,97,2,"Grupo 2"
"Los Pinos",577,8,102,4,"Grupo 4"
"Manila",774,5,268,3,"Grupo 3"
"Manrique Central No. 1",849,7,77,4,"Grupo 4"
"Manrique Central No. 2",606,3,33,4,"Grupo 4"
"Manrique Oriental",748,4,60,4,"Grupo 4"
"Maria Cano Carambolas",56,0,7,2,"Grupo 2"
"Media Luna",5,0,0,2,"Grupo 2"
"Metropolitano",31,0,1,2,"Grupo 2"
"Mirador del Doce",39,1,0,2,"Grupo 2"
"Miraflores",458,1,36,2,"Grupo 2"
"Miranda",706,6,72,4,"Grupo 4"
"Miravalle",51,0,8,2,"Grupo 2"
"Monteclaro",96,0,8,2,"Grupo 2"
"Moravia",827,12,92,4,"Grupo 4"
"Moscu No. 1",268,0,29,2,"Grupo 2"
"Moscu No. 2",311,3,27,2,"Grupo 2"
"Naranjal",1435,14,270,3,"Grupo 3"
"Nueva Villa de Aburra",112,1,18,2,"Grupo 2"
"Nueva Villa de la Iguana",331,2,40,2,"Grupo 2"
"Nuevos Conquistadores",73,1,3,2,"Grupo 2"
"Ocho de Marzo",47,1,3,2,"Grupo 2"
"Olaya Herrera",177,4,21,2,"Grupo 2"
"Oleoducto",694,15,73,4,"Grupo 4"
"Oriente",89,2,4,2,"Grupo 2"
"Pablo VI",76,0,2,2,"Grupo 2"
"Pajarito",137,0,14,2,"Grupo 2"
"Palenque",196,1,22,2,"Grupo 2"
"Palermo",362,4,38,2,"Grupo 2"
"Palmitas Sector Central",2,0,0,2,"Grupo 2"
"Parque Juan Pablo II",587,10,56,4,"Grupo 4"
"Parque Norte",108,0,19,2,"Grupo 2"
"Patio Bonito",476,6,143,4,"Grupo 4"
"Pedregal",824,4,36,4,"Grupo 4"
"Pedregal Alto",47,0,1,2,"Grupo 2"
"Pedregal Bajo",58,6,2,2,"Grupo 2"
"Perpetuo Socorro",2370,22,457,1,"Grupo 1"
"Picachito",84,0,10,2,"Grupo 2"
"Picacho",697,1,27,4,"Grupo 4"
"Piedras Blancas",94,2,9,2,"Grupo 2"
"Piedras Blancas Represa",2,0,1,2,"Grupo 2"
"Playon de Los Comuneros",257,3,21,2,"Grupo 2"
"Plaza de Ferias",85,2,10,2,"Grupo 2"
"Popular",384,1,25,2,"Grupo 2"
"Potrerito",3,0,0,2,"Grupo 2"
"Prado",1380,14,171,3,"Grupo 3"
"Robledo",888,7,54,4,"Grupo 4"
"Rosales",936,9,140,4,"Grupo 4"
"San Antonio",32,0,1,2,"Grupo 2"
"San Benito",1506,27,312,1,"Grupo 1"
"San Bernardo",760,10,90,4,"Grupo 4"
"San Diego",1289,14,347,3,"Grupo 3"
"San German",554,5,74,4,"Grupo 4"
"San Isidro",855,1,69,4,"Grupo 4"
"San Javier No.1",549,4,39,4,"Grupo 4"
"San Javier No.2",194,1,21,2,"Grupo 2"
"San Joaquin",300,6,66,4,"Grupo 4"
"San Jose de la Montana",2,0,0,2,"Grupo 2"
"San Jose la Cima No. 1",34,1,0,2,"Grupo 2"
"San Jose la Cima No.2",21,0,0,2,"Grupo 2"
"San Lucas",75,1,34,2,"Grupo 2"
"San Martin de Porres",546,1,29,2,"Grupo 2"
"San Miguel",683,2,54,4,"Grupo 4"
"San Pablo",306,0,15,2,"Grupo 2"
"San Pedro",576,6,57,4,"Grupo 4"
"Santa Cruz",287,2,20,2,"Grupo 2"
"Santa Elena Sector Central",4,0,0,2,"Grupo 2"
"Santa Fe",2180,24,324,1,"Grupo 1"
"Santa Ines",467,1,32,2,"Grupo 2"
"Santa Lucia",184,1,19,2,"Grupo 2"
"Santa Margarita",289,2,23,2,"Grupo 2"
"Santa Maria de los Angeles",523,8,93,4,"Grupo 4"
"Santa Monica",278,2,19,2,"Grupo 2"
"Santa Rosa de Lima",20,0,1,2,"Grupo 2"
"Santa Teresita",187,0,31,2,"Grupo 2"
"Santander",547,4,20,4,"Grupo 4"
"Santo Domingo Savio No. 1",450,2,33,2,"Grupo 2"
"Santo Domingo Savio No. 2",120,0,2,2,"Grupo 2"
"Sevilla",825,7,119,4,"Grupo 4"
"Simon Bolivar",292,2,46,2,"Grupo 2"
"SUBURB El Plan",46,0,4,2,"Grupo 2"
"Suburbano Aguas Frias",4,0,1,2,"Grupo 2"
"Suburbano Altavista",59,1,5,2,"Grupo 2"
"Suburbano Barro Blanco",0,1,0,2,"Grupo 2"
"Suburbano El Llano",17,1,6,2,"Grupo 2"
"Suburbano el Tesoro",11,0,3,2,"Grupo 2"
"Suburbano La Cuchilla",0,0,0,2,"Grupo 2"
"Suburbano La Loma",187,2,10,2,"Grupo 2"
"Suburbano La Palma-El Patio",18,1,3,2,"Grupo 2"
"Suburbano Mirador del Poblado",52,0,5,2,"Grupo 2"
"Suburbano Palmitas",3,1,0,2,"Grupo 2"
"Suburbano Pedregal alto",26,0,0,2,"Grupo 2"
"Suburbano Piedra Gorda",0,0,0,2,"Grupo 2"
"Suburbano Potrerito",4,0,0,2,"Grupo 2"
"Suburbano Travesias",68,0,6,2,"Grupo 2"
"Sucre",537,6,44,4,"Grupo 4"
"Suramericana",837,8,158,4,"Grupo 4"
"Tejelo",639,1,36,4,"Grupo 4"
"Tenche",545,5,103,4,"Grupo 4"
"Terminal de Transporte",1475,17,252,3,"Grupo 3"
"Toscana",719,17,113,3,"Grupo 3"
"Trece de Noviembre",56,1,4,2,"Grupo 2"
"Tricentenario",629,6,93,4,"Grupo 4"
"Trinidad",733,7,87,4,"Grupo 4"
"U.D. Atanasio Girardot",175,0,19,2,"Grupo 2"
"U.P.B.",51,1,10,2,"Grupo 2"
"Universidad de Antioquia",609,8,69,4,"Grupo 4"
"Universidad Nacional",1038,13,178,3,"Grupo 3"
"Veinte de Julio",310,8,6,4,"Grupo 4"
"Versalles No. 1",441,2,30,2,"Grupo 2"
"Versalles No. 2",56,0,5,2,"Grupo 2"
"Villa Carlota",1060,13,269,3,"Grupo 3"
"Villa del Socorro",338,1,26,2,"Grupo 2"
"Villa Flora",646,0,61,4,"Grupo 4"
"Villa Guadalupe",349,3,14,2,"Grupo 2"
"Villa Hermosa",502,2,23,2,"Grupo 2"
"Villa Liliam",121,2,8,2,"Grupo 2"
"Villa Niza",148,0,18,2,"Grupo 2"
"Villa Nueva",1762,18,391,1,"Grupo 1"
"Villa Turbay",43,0,3,2,"Grupo 2"
"Villatina",433,0,26,2,"Grupo 2"
"Volcana Guayabal",3,0,0,2,"Grupo 2"
"Yarumalito",1,0,0,2,"Grupo 2"
"Yolombo",22,0,4,2,"Grupo 2"
