"","Con_heridos","Con_muertos","Solo_danos","kmm.cluster"
"Aguas Frias",65,0,22,2
"Aldea Pablo VI",66,1,20,2
"Alejandria",197,1,427,2
"Alejandro Echavarria",720,4,308,1
"Alfonso Lopez",818,4,346,1
"Altamira",476,0,300,2
"Altavista",221,3,145,2
"Altavista Sector Central",199,2,48,2
"Altos del Poblado",167,1,156,2
"Andalucia",184,2,77,2
"Antonio Narino",205,1,61,2
"Aranjuez",312,2,122,2
"Area De Expansion Altavista",28,0,6,2
"Area de Expansion Altos de Calasanz",61,1,58,2
"Area De Expansion Belen Rincon",2,0,9,2
"Area de Expansion Pajarito",783,9,234,1
"Area de Expansion San Antonio de Prado",59,2,21,2
"Asomadera No. 1",389,5,460,1
"Asomadera No. 2",225,0,390,2
"Asomadera No. 3",59,1,73,2
"Astorga",112,0,209,2
"Aures No. 2",576,0,157,2
"Aures No.1",453,1,122,2
"B. Cerro  El Volador",137,2,79,2
"Barrio Caicedo",669,5,380,1
"Barrio Colombia",553,5,718,1
"Barrio Colon",1778,18,2686,4
"Barrio Cristobal",93,1,74,2
"Barrio de Jesus",283,2,128,2
"Batallon Girardot",10,0,2,2
"Belalcazar",394,0,329,2
"Belen",1244,8,1715,3
"Belencito",132,1,48,2
"Bello Horizonte",214,2,102,2
"Berlin",699,6,324,1
"Bermejal-Los Alamos",184,2,70,2
"Betania",96,2,35,2
"Blanquizal",58,1,28,2
"Bolivariana",397,4,446,1
"Bombona No. 1",656,7,771,1
"Bombona No. 2",264,1,166,2
"Boqueron",0,0,1,2
"Bosques de San Pablo",180,0,174,2
"Boston",1453,11,1289,3
"Boyaca",476,1,260,2
"Brasilia",452,2,176,2
"Buenos Aires",729,0,460,1
"Buga Patio Bonito",32,0,18,2
"Cabecera San Antonio de Prado",2128,41,1561,4
"Cabecera Urbana San Cristobal",478,6,205,1
"Calasanz",433,2,443,1
"Calasanz Parte Alta",281,1,238,2
"Calle Nueva",755,7,1268,3
"Campo Alegre",461,3,192,1
"Campo Amor",2428,27,2711,4
"Campo Valdes No. 1",1118,8,372,1
"Campo Valdes No. 2",917,1,199,1
"Caribe",2495,24,2345,4
"Carlos E. Restrepo",1548,11,1805,3
"Carpinelo",122,0,30,2
"Castilla",2178,10,717,3
"Castropol",618,3,770,1
"Cataluna",170,0,143,2
"Cementerio Universal",119,0,129,2
"Centro Administrativo",186,2,172,2
"Cerro Nutibara",626,8,554,1
"Corazon de Jesus",1083,26,1620,4
"Cordoba",422,1,206,2
"Cristo Rey",1195,18,1132,3
