"","Atropello","Caida_de_Ocupante","Choque","Incendio","Otro","Volcamiento","kmm.cluster"
"Aguas Frias",19,8,36,0,19,5,2
"Aldea Pablo VI",25,17,36,0,5,4,2
"Alejandria",18,19,536,0,37,15,2
"Alejandro Echavarria",109,113,602,0,148,60,1
"Alfonso Lopez",152,185,567,0,194,70,1
"Altamira",49,121,502,0,85,19,2
"Altavista",63,29,214,0,47,16,2
"Altavista Sector Central",48,38,103,0,46,14,2
"Altos del Poblado",16,24,233,0,36,15,2
"Andalucia",69,34,109,0,37,14,2
"Antonio Narino",38,41,117,0,47,24,2
"Aranjuez",65,55,231,0,63,22,2
"Area De Expansion Altavista",6,6,18,0,2,2,2
"Area de Expansion Altos de Calasanz",9,9,85,0,13,4,2
"Area De Expansion Belen Rincon",0,0,11,0,0,0,2
"Area de Expansion Pajarito",122,174,450,1,202,77,1
"Area de Expansion San Antonio de Prado",11,11,46,0,8,6,2
"Asomadera No. 1",28,55,656,0,78,37,1
"Asomadera No. 2",12,41,488,0,48,26,2
"Asomadera No. 3",2,8,100,0,15,8,2
"Astorga",11,2,281,0,19,8,2
"Aures No. 2",89,171,269,0,152,52,2
"Aures No.1",82,122,219,0,121,32,2
"B. Cerro  El Volador",33,19,127,0,29,10,2
"Barrio Caicedo",119,114,603,0,155,63,1
"Barrio Colombia",57,67,1018,0,98,36,1
"Barrio Colon",394,209,3486,0,297,96,4
"Barrio Cristobal",12,12,129,0,14,1,2
"Barrio de Jesus",70,53,210,0,57,23,2
"Batallon Girardot",6,1,5,0,0,0,2
"Belalcazar",40,48,530,0,84,21,2
"Belen",213,161,2291,0,221,81,3
"Belencito",23,20,100,0,33,5,2
"Bello Horizonte",55,41,174,0,33,15,2
"Berlin",193,118,534,0,144,40,1
"Bermejal-Los Alamos",59,27,124,0,34,12,2
"Betania",26,28,53,0,18,8,2
"Blanquizal",20,9,43,0,11,4,2
"Bolivariana",53,50,656,0,70,18,1
"Bombona No. 1",94,69,1129,0,104,38,1
"Bombona No. 2",47,47,240,0,66,31,2
"Boqueron",0,0,1,0,0,0,2
"Bosques de San Pablo",21,37,244,0,44,8,2
"Boston",281,150,2046,0,192,84,3
"Boyaca",68,101,429,0,104,35,2
"Brasilia",87,60,378,0,74,31,2
"Buenos Aires",95,87,825,0,137,45,1
"Buga Patio Bonito",4,4,29,0,7,6,2
"Cabecera San Antonio de Prado",488,281,2429,1,389,142,4
"Cabecera Urbana San Cristobal",121,102,335,0,104,27,1
"Calasanz",42,76,662,0,84,14,1
"Calasanz Parte Alta",25,61,356,0,60,18,2
"Calle Nueva",141,104,1639,0,108,38,3
"Campo Alegre",70,68,403,0,89,26,1
"Campo Amor",252,346,3922,1,468,177,4
"Campo Valdes No. 1",229,155,868,1,184,61,1
"Campo Valdes No. 2",236,147,523,0,161,50,1
"Caribe",200,353,3600,0,540,171,4
"Carlos E. Restrepo",161,245,2553,0,306,99,3
"Carpinelo",50,21,44,0,25,12,2
"Castilla",355,411,1487,0,504,148,3
"Castropol",68,76,1077,0,131,39,1
"Cataluna",24,32,178,0,55,24,2
"Cementerio Universal",7,19,182,0,33,7,2
"Centro Administrativo",26,28,250,0,41,15,2
"Cerro Nutibara",50,77,887,0,122,52,1
"Corazon de Jesus",229,134,2138,0,170,58,4
"Cordoba",61,110,336,0,98,24,2
"Cristo Rey",175,121,1747,0,218,84,3
"Cuarta Brigada",118,113,1000,1,119,39,1
"Cucaracho",69,194,572,0,198,45,1
"Diego Echavarria",17,44,355,0,51,18,2
"Doce de Octubre No.1",118,120,231,0,97,22,1
"Doce de Octubre No.2",128,124,317,0,105,36,1
"Eduardo Santos",5,6,22,0,16,3,2
"El Astillero",0,0,2,0,2,0,2
"El Castillo",16,15,389,0,27,18,2
"El Chagualo",199,159,1568,0,196,68,3
"El Compromiso",46,14,78,0,15,7,2
"El Corazon",28,18,75,0,16,4,2
"El Corazon El Morro",4,0,9,0,1,1,2
"El Danubio",32,44,290,0,51,15,2
"El Diamante",145,230,500,1,220,32,1
"El Diamante No. 2",7,12,290,0,19,10,2
"El Estadio",114,85,782,0,133,34,1
"El Llano SE",0,0,1,0,0,0,2
"El Nogal-Los Almendros",24,20,390,0,30,11,2
"El Pesebre",35,44,134,0,35,8,2
"El Picacho",6,6,7,0,6,1,2
"El Pinal",117,84,289,0,81,44,2
"El Plan",0,1,1,0,0,0,2
"El Poblado",82,62,1385,0,124,40,1
"El Pomar",78,47,223,1,54,22,2
"El Progreso",112,194,1471,0,165,51,1
"El Progreso No.2",22,28,75,0,23,3,2
"El Raizal",106,87,283,0,95,48,2
"El Rincon",101,121,580,1,197,66,1
"El Rodeo",22,20,126,0,23,17,2
"El Salado",34,31,87,0,39,11,2
"El Salvador",76,74,396,0,110,36,2
"El Socorro",24,9,35,0,7,5,2
"El Tesoro",22,52,613,1,52,28,2
"El Triunfo",17,10,17,0,20,2,2
"El Uvito",0,0,1,0,0,0,2
"El Velodromo",47,57,616,0,70,21,1
"El Vergel",0,0,4,0,2,0,2
"Enciso",101,80,408,0,90,50,1
"Estacion Villa",250,106,1102,0,149,48,3
"Facultad de Minas U. Nacional",46,187,859,0,237,55,1
"Facultad Veterinaria y Zootecnia U.de.A.",13,14,111,0,19,5,2
"Fatima",58,61,1016,0,93,38,1
"Ferrini",26,30,219,0,31,12,2
"Florencia",47,67,226,0,50,15,2
"Florida Nueva",110,64,704,0,85,28,1
"Francisco Antonio Zea",82,72,346,0,93,27,2
"Fuente Clara",18,18,96,0,26,9,2
"Gerona",79,54,308,0,78,32,2
"Girardot",98,156,526,0,157,59,1
"Granada",55,22,402,0,39,20,2
"Granizal",99,28,186,0,48,13,2
"Guayabal",148,162,1946,0,253,102,3
"Guayaquil",364,184,2734,1,208,53,4
"Hector Abad Gomez",64,107,848,0,179,57,1
"Hospital San Vicente de Paul",13,9,113,0,12,7,2
"Jardin Botanico",22,20,153,0,25,7,2
"Jesus Nazareno",192,158,1546,1,230,67,3
"Juan Pablo II",14,8,12,0,4,7,2
"Juan XXIII La Quiebra",38,29,73,0,26,11,2
"Kennedy",213,160,480,0,152,30,1
"La Aguacatala",58,128,1916,1,182,81,3
"La Alpujarra",94,140,2242,0,192,60,3
"La America",150,106,997,0,143,54,1
"La Avanzada",64,26,93,0,19,10,2
"La Candelaria",1006,355,4130,0,316,109,4
"La Castellana",61,35,704,0,48,15,1
"La Colina",65,84,417,0,99,31,1
"La Cruz",39,15,58,0,18,8,2
"La Esperanza",167,141,314,0,127,34,1
"La Esperanza No. 2",63,19,77,0,20,14,2
"La Floresta",84,80,568,0,91,25,1
"La Florida",47,42,882,0,57,25,1
"La Francia",80,50,183,0,37,17,2
"La Frisola",0,0,1,0,1,0,2
"La Frontera",51,26,129,0,32,10,2
"La Gloria",51,108,745,0,162,43,1
"La Hondonada",11,30,150,0,34,4,2
"La Isla",77,21,87,0,33,9,2
"La Ladera",7,10,46,0,11,4,2
"La Libertad",77,62,193,0,74,18,2
"La Loma",4,7,22,0,3,1,2
"La Loma Oriental",7,13,36,0,6,7,2
"La Mansion",41,33,239,0,46,16,2
"La Milagrosa",77,65,373,0,62,22,1
"La mota",31,58,408,0,76,31,2
