OBJECTID,CODIGO,COMUNA,BARRIO,NOMBRE_BARRIO,SECTOR,INDICADOR_UR,NOMBRE_COMUNA,SHAPE__Area,SHAPE__Length
1,0310,03,10,Versalles No. 2,1,U,MANRIQUE,193760.779296875,2826.31883676759
2,0305,03,05,El Raizal,1,U,MANRIQUE,271095.772949219,2894.18360093312
3,1422,14,22,La Aguacatala,5,U,EL POBLADO,680221.6015625,3928.87802532696
4,1316,13,16,El Salado,4,U,SAN JAVIER,413012.44140625,4415.13159942844
5,9080,90,80,Suburbano Barro Blanco,9,R,SANTA ELENA,159534.584472656,1788.56107270704
6,1502,15,02,Tenche,6,U,GUAYABAL,226668.057128906,2085.38215515841
7,1011,10,11,Calle Nueva,3,U,LA CANDELARIA,232236.062011719,2292.81593726168
8,1507,15,07,Campo Amor,6,U,GUAYABAL,1054046.77392578,4315.53217620999
9,0905,09,05,Alejandro Echavarría,3,U,BUENOS AIRES,366643.20703125,3907.40826400611
10,1420,14,20,Astorga,5,U,EL POBLADO,228223.463867188,1967.57696533923
11,0104,01,04,Granizal,1,U,POPULAR,232860.697265625,2894.36783169857
12,1303,13,03,Santa Rosa de Lima,4,U,SAN JAVIER,153766.123046875,1975.43084304036
13,1616,16,16,Las Violetas,6,U,BELEN,499184.401855469,5345.90632907206
14,1401,14,01,Barrio Colombia,5,U,EL POBLADO,407604.875488281,2908.58562031956
15,0406,04,06,Universidad de Antioquia,1,U,ARANJUEZ,314876.953125,2284.78723454273
16,1408,14,08,Altos del Poblado,5,U,EL POBLADO,966874.939941406,6069.1885586759
17,1020,10,20,San Diego,3,U,LA CANDELARIA,814054.493164063,5359.73940779087
18,1006,10,06,San Benito,3,U,LA CANDELARIA,498223.41796875,3286.91360814133
19,0806,08,06,Llanaditas,3,U,VILLA HERMOSA,269502.963867188,3827.56423992277
20,0611,06,11,El Progreso No.2,2,U,DOCE DE OCTUBRE,122644.448730469,1719.68049276598
21,6007,60,07,El Llano,7,R,SAN CRISTOBAL,205386.17578125,2155.27520175727
22,9087,90,87,Suburbano Matasano 3,9,R,SANTA ELENA,81924.4721679688,1236.51108343938
23,1305,13,05,Metropolitano,4,U,SAN JAVIER,101866.863769531,1537.70024113012
24,0701,07,01,Universidad Nacional,2,U,ROBLEDO,490437.147949219,2838.15246991333
25,0510,05,10,Tricentenario,2,U,CASTILLA,421343.229492188,2922.0086897556
26,1511,15,11,La Colina,6,U,GUAYABAL,689537.432617188,4825.0142390457
27,1113,11,13,El Estadio,4,U,LAURELES,365142.314453125,2636.13687840926
28,8098,80,98,Área de Expansión San Antonio de Prado,8,R,SAN ANTONIO DE PRADO,922435.177246094,6913.00721894333
29,1604,16,04,Granada,6,U,BELEN,182421.554199219,1900.42112855739
30,1104,11,04,San Joaquín,4,U,LAURELES,334344.251953125,2467.2457410507
31,6089,60,89,Suburbano Pedregal alto,7,R,SAN CRISTOBAL,189628.373046875,2846.78218224557
32,1417,14,17,La Florida,5,U,EL POBLADO,784126.415039063,4150.20543905825
33,0909,09,09,Cataluña,3,U,BUENOS AIRES,429522.440429688,3229.3561338638
34,0416,04,16,Jardín Botánico,1,U,ARANJUEZ,162931,1648.6643648819
35,0201,02,01,La Isla,1,U,SANTA CRUZ,226826.842285156,3249.58132903677
36,5007,50,07,La Urquita,7,R,PALMITAS,5398953.39160156,21559.1270227321
37,8001,80,01,El Vergel,8,R,SAN ANTONIO DE PRADO,364411.106445313,3078.78506107731
38,1418,14,18,El Poblado,5,U,EL POBLADO,261488.076171875,2709.85973810754
39,9013,90,13,Barro Blanco,9,R,SANTA ELENA,4621362.61523438,13257.0676685715
40,0812,08,12,La Libertad,3,U,VILLA HERMOSA,305867.309082031,3027.13040129462
41,0205,02,05,La Francia,1,U,SANTA CRUZ,294434.909667969,3595.97155177202
42,0808,08,08,Enciso,3,U,VILLA HERMOSA,341635.150390625,3514.96879036885
43,5088,50,88,Suburbano La Aldea,7,R,PALMITAS,656795.462890625,4327.15961872557
44,0110,01,10,La Esperanza No. 2,1,U,POPULAR,68382.705078125,1303.05049653355
45,1109,11,09,Las Acacias,4,U,LAURELES,348944.299316406,2739.45245552634
46,7084,70,84,Buga Patio Bonito,8,R,ALTAVISTA,148096.692871094,3510.13197597851
47,0109,01,09,Aldea Pablo VI,1,U,POPULAR,56606.2465820313,1562.25653509818
48,1504,15,04,Santa Fé,6,U,GUAYABAL,1060672.81689453,5812.97040889947
49,1019,10,19,La Candelaria,3,U,LA CANDELARIA,661011.169433594,3645.51118944844
50,0710,07,10,López de Mesa,2,U,ROBLEDO,195769.5234375,2168.95620895778
51,0407,04,07,Sevilla,1,U,ARANJUEZ,276493.65625,2042.38672048728
52,7086,70,86,Suburbano Aguas Frias,8,R,ALTAVISTA,2803.8046875,259.94729414714
53,0313,03,13,María Cano Carambolas,1,U,MANRIQUE,281799.072753906,3354.72512908186
54,9078,90,78,Suburbano El Cerro,9,R,SANTA ELENA,201376.0859375,3359.71687565226
55,0312,03,12,Oriente,1,U,MANRIQUE,491107.129882813,3593.20482780455
56,1503,15,03,Trinidad,6,U,GUAYABAL,680032.088867188,4521.43461278182
57,9081,90,81,Suburbano El Placer,9,R,SANTA ELENA,1064115.47949219,4879.63239806589
