"","Choque","Atropello","Otro","Caida_de_Ocupante","Volcamiento","Incendio","Caida","kmm.cluster"
"Aguas Frias",19,4,4,36,0,19,5,2
"Aldea Pablo VI",25,5,12,36,0,5,4,2
"Alejandria",18,6,13,536,0,37,15,2
"Alejandro Echavarria",109,33,80,602,0,148,60,1
"Alfonso Lopez",152,63,122,567,0,194,70,1
"Altamira",49,36,85,502,0,85,19,2
"Altavista",63,11,18,214,0,47,16,2
"Altavista Sector Central",48,15,23,103,0,46,14,2
"Altos del Poblado",16,10,14,233,0,36,15,2
"Andalucia",69,5,29,109,0,37,14,2
"Antonio Narino",38,13,28,117,0,47,24,2
"Aranjuez",65,18,37,231,0,63,22,2
"Area De Expansion Altavista",6,1,5,18,0,2,2,2
"Area de Expansion Altos de Calasanz",9,1,8,85,0,13,4,2
"Area De Expansion Belen Rincon",0,0,0,11,0,0,0,2
"Area de Expansion Pajarito",122,41,133,450,1,202,77,1
"Area de Expansion San Antonio de Prado",11,2,9,46,0,8,6,2
"Asomadera No. 1",28,15,40,656,0,78,37,1
"Asomadera No. 2",12,13,28,488,0,48,26,2
"Asomadera No. 3",2,4,4,100,0,15,8,2
"Astorga",11,1,1,281,0,19,8,2
"Aures No. 2",89,47,124,269,0,152,52,2
"Aures No.1",82,31,91,219,0,121,32,2
"B. Cerro  El Volador",33,8,11,127,0,29,10,2
"Barrio Caicedo",119,28,86,603,0,155,63,1
"Barrio Colombia",57,20,47,1018,0,98,36,1
"Barrio Colon",394,53,156,3486,0,297,96,4
"Barrio Cristobal",12,4,8,129,0,14,1,2
"Barrio de Jesus",70,14,39,210,0,57,23,2
"Batallon Girardot",6,0,1,5,0,0,0,2
"Belalcazar",40,16,32,530,0,84,21,2
"Belen",213,50,111,2291,0,221,81,3
"Belencito",23,6,14,100,0,33,5,2
"Bello Horizonte",55,9,32,174,0,33,15,2
"Berlin",193,31,87,534,0,144,40,1
"Bermejal-Los Alamos",59,4,23,124,0,34,12,2
"Betania",26,13,15,53,0,18,8,2
"Blanquizal",20,4,5,43,0,11,4,2
"Bolivariana",53,2,48,656,0,70,18,1
"Bombona No. 1",94,24,45,1129,0,104,38,1
"Bombona No. 2",47,14,33,240,0,66,31,2
"Boqueron",0,0,0,1,0,0,0,2
"Bosques de San Pablo",21,9,28,244,0,44,8,2
"Boston",281,39,111,2046,0,192,84,3
"Boyaca",68,30,71,429,0,104,35,2
"Brasilia",87,12,48,378,0,74,31,2
"Buenos Aires",95,26,61,825,0,137,45,1
"Buga Patio Bonito",4,1,3,29,0,7,6,2
"Cabecera San Antonio de Prado",488,75,206,2429,1,389,142,4
"Cabecera Urbana San Cristobal",121,28,74,335,0,104,27,1
"Calasanz",42,15,61,662,0,84,14,1
"Calasanz Parte Alta",25,20,41,356,0,60,18,2
"Calle Nueva",141,30,74,1639,0,108,38,3
"Campo Alegre",70,17,51,403,0,89,26,1
"Campo Amor",252,106,240,3922,1,468,177,4
"Campo Valdes No. 1",229,32,123,868,1,184,61,1
"Campo Valdes No. 2",236,34,113,523,0,161,50,1
"Caribe",200,76,277,3600,0,540,171,4
"Carlos E. Restrepo",161,63,182,2553,0,306,99,3
"Carpinelo",50,5,16,44,0,25,12,2
"Castilla",355,107,304,1487,0,504,148,3
"Castropol",68,16,60,1077,0,131,39,1
"Cataluna",24,12,20,178,0,55,24,2
"Cementerio Universal",7,5,14,182,0,33,7,2
"Centro Administrativo",26,5,23,250,0,41,15,2
"Cerro Nutibara",50,26,51,887,0,122,52,1
"Corazon de Jesus",229,41,93,2138,0,170,58,4
"Cordoba",61,25,85,336,0,98,24,2
"Cristo Rey",175,34,87,1747,0,218,84,3
"Cuarta Brigada",118,31,82,1000,1,119,39,1
