"","FECHA","AÑO","CLASE","DIA_SEMANA","MES","SEMANA","FESTIVIDAD"
"1",2020-01-01,2020,"Atropello","miercoles","01","1","SI"
"2",2020-01-01,2020,"Caida de Ocupante","miercoles","01","1","SI"
"3",2020-01-01,2020,"Choque","miercoles","01","1","SI"
"4",2020-01-01,2020,"Incendio","miercoles","01","1","SI"
"5",2020-01-01,2020,"Otro","miercoles","01","1","SI"
"6",2020-01-01,2020,"Volcamiento","miercoles","01","1","SI"
"7",2020-01-02,2020,"Atropello","jueves","01","1","NO"
"8",2020-01-02,2020,"Caida de Ocupante","jueves","01","1","NO"
"9",2020-01-02,2020,"Choque","jueves","01","1","NO"
"10",2020-01-02,2020,"Incendio","jueves","01","1","NO"
"11",2020-01-02,2020,"Otro","jueves","01","1","NO"
"12",2020-01-02,2020,"Volcamiento","jueves","01","1","NO"
"13",2020-01-03,2020,"Atropello","viernes","01","1","NO"
"14",2020-01-03,2020,"Caida de Ocupante","viernes","01","1","NO"
"15",2020-01-03,2020,"Choque","viernes","01","1","NO"
"16",2020-01-03,2020,"Incendio","viernes","01","1","NO"
"17",2020-01-03,2020,"Otro","viernes","01","1","NO"
"18",2020-01-03,2020,"Volcamiento","viernes","01","1","NO"
"19",2020-01-04,2020,"Atropello","sabado","01","1","NO"
"20",2020-01-04,2020,"Caida de Ocupante","sabado","01","1","NO"
"21",2020-01-04,2020,"Choque","sabado","01","1","NO"
"22",2020-01-04,2020,"Incendio","sabado","01","1","NO"
"23",2020-01-04,2020,"Otro","sabado","01","1","NO"
"24",2020-01-04,2020,"Volcamiento","sabado","01","1","NO"
"25",2020-01-05,2020,"Atropello","domingo","01","1","NO"
"26",2020-01-05,2020,"Caida de Ocupante","domingo","01","1","NO"
"27",2020-01-05,2020,"Choque","domingo","01","1","NO"
"28",2020-01-05,2020,"Incendio","domingo","01","1","NO"
"29",2020-01-05,2020,"Otro","domingo","01","1","NO"
"30",2020-01-05,2020,"Volcamiento","domingo","01","1","NO"
"31",2020-01-06,2020,"Atropello","lunes","01","1","SI"
"32",2020-01-06,2020,"Caida de Ocupante","lunes","01","1","SI"
"33",2020-01-06,2020,"Choque","lunes","01","1","SI"
"34",2020-01-06,2020,"Incendio","lunes","01","1","SI"
"35",2020-01-06,2020,"Otro","lunes","01","1","SI"
"36",2020-01-06,2020,"Volcamiento","lunes","01","1","SI"
"37",2020-01-07,2020,"Atropello","martes","01","1","NO"
"38",2020-01-07,2020,"Caida de Ocupante","martes","01","1","NO"
"39",2020-01-07,2020,"Choque","martes","01","1","NO"
"40",2020-01-07,2020,"Incendio","martes","01","1","NO"
"41",2020-01-07,2020,"Otro","martes","01","1","NO"
"42",2020-01-07,2020,"Volcamiento","martes","01","1","NO"
"43",2020-01-08,2020,"Atropello","miercoles","01","2","NO"
"44",2020-01-08,2020,"Caida de Ocupante","miercoles","01","2","NO"
"45",2020-01-08,2020,"Choque","miercoles","01","2","NO"
"46",2020-01-08,2020,"Incendio","miercoles","01","2","NO"
"47",2020-01-08,2020,"Otro","miercoles","01","2","NO"
"48",2020-01-08,2020,"Volcamiento","miercoles","01","2","NO"
"49",2020-01-09,2020,"Atropello","jueves","01","2","NO"
"50",2020-01-09,2020,"Caida de Ocupante","jueves","01","2","NO"
"51",2020-01-09,2020,"Choque","jueves","01","2","NO"
"52",2020-01-09,2020,"Incendio","jueves","01","2","NO"
"53",2020-01-09,2020,"Otro","jueves","01","2","NO"
"54",2020-01-09,2020,"Volcamiento","jueves","01","2","NO"
"55",2020-01-10,2020,"Atropello","viernes","01","2","NO"
"56",2020-01-10,2020,"Caida de Ocupante","viernes","01","2","NO"
"57",2020-01-10,2020,"Choque","viernes","01","2","NO"
"58",2020-01-10,2020,"Incendio","viernes","01","2","NO"
"59",2020-01-10,2020,"Otro","viernes","01","2","NO"
"60",2020-01-10,2020,"Volcamiento","viernes","01","2","NO"
"61",2020-01-11,2020,"Atropello","sabado","01","2","NO"
"62",2020-01-11,2020,"Caida de Ocupante","sabado","01","2","NO"
"63",2020-01-11,2020,"Choque","sabado","01","2","NO"
"64",2020-01-11,2020,"Incendio","sabado","01","2","NO"
"65",2020-01-11,2020,"Otro","sabado","01","2","NO"
"66",2020-01-11,2020,"Volcamiento","sabado","01","2","NO"
"67",2020-01-12,2020,"Atropello","domingo","01","2","NO"
"68",2020-01-12,2020,"Caida de Ocupante","domingo","01","2","NO"
"69",2020-01-12,2020,"Choque","domingo","01","2","NO"
"70",2020-01-12,2020,"Incendio","domingo","01","2","NO"
"71",2020-01-12,2020,"Otro","domingo","01","2","NO"
"72",2020-01-12,2020,"Volcamiento","domingo","01","2","NO"
"73",2020-01-13,2020,"Atropello","lunes","01","2","NO"
"74",2020-01-13,2020,"Caida de Ocupante","lunes","01","2","NO"
"75",2020-01-13,2020,"Choque","lunes","01","2","NO"
"76",2020-01-13,2020,"Incendio","lunes","01","2","NO"
"77",2020-01-13,2020,"Otro","lunes","01","2","NO"
"78",2020-01-13,2020,"Volcamiento","lunes","01","2","NO"
"79",2020-01-14,2020,"Atropello","martes","01","2","NO"
"80",2020-01-14,2020,"Caida de Ocupante","martes","01","2","NO"
"81",2020-01-14,2020,"Choque","martes","01","2","NO"
"82",2020-01-14,2020,"Incendio","martes","01","2","NO"
"83",2020-01-14,2020,"Otro","martes","01","2","NO"
"84",2020-01-14,2020,"Volcamiento","martes","01","2","NO"
"85",2020-01-15,2020,"Atropello","miercoles","01","3","NO"
"86",2020-01-15,2020,"Caida de Ocupante","miercoles","01","3","NO"
"87",2020-01-15,2020,"Choque","miercoles","01","3","NO"
"88",2020-01-15,2020,"Incendio","miercoles","01","3","NO"
"89",2020-01-15,2020,"Otro","miercoles","01","3","NO"
"90",2020-01-15,2020,"Volcamiento","miercoles","01","3","NO"
"91",2020-01-16,2020,"Atropello","jueves","01","3","NO"
"92",2020-01-16,2020,"Caida de Ocupante","jueves","01","3","NO"
"93",2020-01-16,2020,"Choque","jueves","01","3","NO"
"94",2020-01-16,2020,"Incendio","jueves","01","3","NO"
"95",2020-01-16,2020,"Otro","jueves","01","3","NO"
"96",2020-01-16,2020,"Volcamiento","jueves","01","3","NO"
"97",2020-01-17,2020,"Atropello","viernes","01","3","NO"
"98",2020-01-17,2020,"Caida de Ocupante","viernes","01","3","NO"
"99",2020-01-17,2020,"Choque","viernes","01","3","NO"
"100",2020-01-17,2020,"Incendio","viernes","01","3","NO"
"101",2020-01-17,2020,"Otro","viernes","01","3","NO"
"102",2020-01-17,2020,"Volcamiento","viernes","01","3","NO"
"103",2020-01-18,2020,"Atropello","sabado","01","3","NO"
"104",2020-01-18,2020,"Caida de Ocupante","sabado","01","3","NO"
"105",2020-01-18,2020,"Choque","sabado","01","3","NO"
"106",2020-01-18,2020,"Incendio","sabado","01","3","NO"
"107",2020-01-18,2020,"Otro","sabado","01","3","NO"
"108",2020-01-18,2020,"Volcamiento","sabado","01","3","NO"
"109",2020-01-19,2020,"Atropello","domingo","01","3","NO"
"110",2020-01-19,2020,"Caida de Ocupante","domingo","01","3","NO"
"111",2020-01-19,2020,"Choque","domingo","01","3","NO"
"112",2020-01-19,2020,"Incendio","domingo","01","3","NO"
"113",2020-01-19,2020,"Otro","domingo","01","3","NO"
"114",2020-01-19,2020,"Volcamiento","domingo","01","3","NO"
"115",2020-01-20,2020,"Atropello","lunes","01","3","NO"
"116",2020-01-20,2020,"Caida de Ocupante","lunes","01","3","NO"
"117",2020-01-20,2020,"Choque","lunes","01","3","NO"
"118",2020-01-20,2020,"Incendio","lunes","01","3","NO"
"119",2020-01-20,2020,"Otro","lunes","01","3","NO"
"120",2020-01-20,2020,"Volcamiento","lunes","01","3","NO"
"121",2020-01-21,2020,"Atropello","martes","01","3","NO"
"122",2020-01-21,2020,"Caida de Ocupante","martes","01","3","NO"
"123",2020-01-21,2020,"Choque","martes","01","3","NO"
"124",2020-01-21,2020,"Incendio","martes","01","3","NO"
"125",2020-01-21,2020,"Otro","martes","01","3","NO"
"126",2020-01-21,2020,"Volcamiento","martes","01","3","NO"
"127",2020-01-22,2020,"Atropello","miercoles","01","4","NO"
"128",2020-01-22,2020,"Caida de Ocupante","miercoles","01","4","NO"
"129",2020-01-22,2020,"Choque","miercoles","01","4","NO"
"130",2020-01-22,2020,"Incendio","miercoles","01","4","NO"
"131",2020-01-22,2020,"Otro","miercoles","01","4","NO"
"132",2020-01-22,2020,"Volcamiento","miercoles","01","4","NO"
"133",2020-01-23,2020,"Atropello","jueves","01","4","NO"
"134",2020-01-23,2020,"Caida de Ocupante","jueves","01","4","NO"
"135",2020-01-23,2020,"Choque","jueves","01","4","NO"
"136",2020-01-23,2020,"Incendio","jueves","01","4","NO"
"137",2020-01-23,2020,"Otro","jueves","01","4","NO"
"138",2020-01-23,2020,"Volcamiento","jueves","01","4","NO"
"139",2020-01-24,2020,"Atropello","viernes","01","4","NO"
"140",2020-01-24,2020,"Caida de Ocupante","viernes","01","4","NO"
"141",2020-01-24,2020,"Choque","viernes","01","4","NO"
"142",2020-01-24,2020,"Incendio","viernes","01","4","NO"
"143",2020-01-24,2020,"Otro","viernes","01","4","NO"
"144",2020-01-24,2020,"Volcamiento","viernes","01","4","NO"
"145",2020-01-25,2020,"Atropello","sabado","01","4","NO"
"146",2020-01-25,2020,"Caida de Ocupante","sabado","01","4","NO"
"147",2020-01-25,2020,"Choque","sabado","01","4","NO"
"148",2020-01-25,2020,"Incendio","sabado","01","4","NO"
"149",2020-01-25,2020,"Otro","sabado","01","4","NO"
"150",2020-01-25,2020,"Volcamiento","sabado","01","4","NO"
"151",2020-01-26,2020,"Atropello","domingo","01","4","NO"
"152",2020-01-26,2020,"Caida de Ocupante","domingo","01","4","NO"
"153",2020-01-26,2020,"Choque","domingo","01","4","NO"
"154",2020-01-26,2020,"Incendio","domingo","01","4","NO"
"155",2020-01-26,2020,"Otro","domingo","01","4","NO"
"156",2020-01-26,2020,"Volcamiento","domingo","01","4","NO"
"157",2020-01-27,2020,"Atropello","lunes","01","4","NO"
"158",2020-01-27,2020,"Caida de Ocupante","lunes","01","4","NO"
"159",2020-01-27,2020,"Choque","lunes","01","4","NO"
"160",2020-01-27,2020,"Incendio","lunes","01","4","NO"
"161",2020-01-27,2020,"Otro","lunes","01","4","NO"
"162",2020-01-27,2020,"Volcamiento","lunes","01","4","NO"
"163",2020-01-28,2020,"Atropello","martes","01","4","NO"
"164",2020-01-28,2020,"Caida de Ocupante","martes","01","4","NO"
"165",2020-01-28,2020,"Choque","martes","01","4","NO"
"166",2020-01-28,2020,"Incendio","martes","01","4","NO"
"167",2020-01-28,2020,"Otro","martes","01","4","NO"
"168",2020-01-28,2020,"Volcamiento","martes","01","4","NO"
"169",2020-01-29,2020,"Atropello","miercoles","01","5","NO"
"170",2020-01-29,2020,"Caida de Ocupante","miercoles","01","5","NO"
"171",2020-01-29,2020,"Choque","miercoles","01","5","NO"
"172",2020-01-29,2020,"Incendio","miercoles","01","5","NO"
"173",2020-01-29,2020,"Otro","miercoles","01","5","NO"
"174",2020-01-29,2020,"Volcamiento","miercoles","01","5","NO"
"175",2020-01-30,2020,"Atropello","jueves","01","5","NO"
"176",2020-01-30,2020,"Caida de Ocupante","jueves","01","5","NO"
"177",2020-01-30,2020,"Choque","jueves","01","5","NO"
"178",2020-01-30,2020,"Incendio","jueves","01","5","NO"
"179",2020-01-30,2020,"Otro","jueves","01","5","NO"
"180",2020-01-30,2020,"Volcamiento","jueves","01","5","NO"
"181",2020-01-31,2020,"Atropello","viernes","01","5","NO"
"182",2020-01-31,2020,"Caida de Ocupante","viernes","01","5","NO"
"183",2020-01-31,2020,"Choque","viernes","01","5","NO"
"184",2020-01-31,2020,"Incendio","viernes","01","5","NO"
"185",2020-01-31,2020,"Otro","viernes","01","5","NO"
"186",2020-01-31,2020,"Volcamiento","viernes","01","5","NO"
"187",2020-02-01,2020,"Atropello","sabado","02","5","NO"
"188",2020-02-01,2020,"Caida de Ocupante","sabado","02","5","NO"
"189",2020-02-01,2020,"Choque","sabado","02","5","NO"
"190",2020-02-01,2020,"Incendio","sabado","02","5","NO"
"191",2020-02-01,2020,"Otro","sabado","02","5","NO"
"192",2020-02-01,2020,"Volcamiento","sabado","02","5","NO"
"193",2020-02-02,2020,"Atropello","domingo","02","5","NO"
"194",2020-02-02,2020,"Caida de Ocupante","domingo","02","5","NO"
"195",2020-02-02,2020,"Choque","domingo","02","5","NO"
"196",2020-02-02,2020,"Incendio","domingo","02","5","NO"
"197",2020-02-02,2020,"Otro","domingo","02","5","NO"
"198",2020-02-02,2020,"Volcamiento","domingo","02","5","NO"
"199",2020-02-03,2020,"Atropello","lunes","02","5","NO"
"200",2020-02-03,2020,"Caida de Ocupante","lunes","02","5","NO"
"201",2020-02-03,2020,"Choque","lunes","02","5","NO"
"202",2020-02-03,2020,"Incendio","lunes","02","5","NO"
"203",2020-02-03,2020,"Otro","lunes","02","5","NO"
"204",2020-02-03,2020,"Volcamiento","lunes","02","5","NO"
"205",2020-02-04,2020,"Atropello","martes","02","5","NO"
"206",2020-02-04,2020,"Caida de Ocupante","martes","02","5","NO"
"207",2020-02-04,2020,"Choque","martes","02","5","NO"
"208",2020-02-04,2020,"Incendio","martes","02","5","NO"
"209",2020-02-04,2020,"Otro","martes","02","5","NO"
"210",2020-02-04,2020,"Volcamiento","martes","02","5","NO"
"211",2020-02-05,2020,"Atropello","miercoles","02","6","NO"
"212",2020-02-05,2020,"Caida de Ocupante","miercoles","02","6","NO"
"213",2020-02-05,2020,"Choque","miercoles","02","6","NO"
"214",2020-02-05,2020,"Incendio","miercoles","02","6","NO"
"215",2020-02-05,2020,"Otro","miercoles","02","6","NO"
"216",2020-02-05,2020,"Volcamiento","miercoles","02","6","NO"
"217",2020-02-06,2020,"Atropello","jueves","02","6","NO"
"218",2020-02-06,2020,"Caida de Ocupante","jueves","02","6","NO"
"219",2020-02-06,2020,"Choque","jueves","02","6","NO"
"220",2020-02-06,2020,"Incendio","jueves","02","6","NO"
"221",2020-02-06,2020,"Otro","jueves","02","6","NO"
"222",2020-02-06,2020,"Volcamiento","jueves","02","6","NO"
"223",2020-02-07,2020,"Atropello","viernes","02","6","NO"
"224",2020-02-07,2020,"Caida de Ocupante","viernes","02","6","NO"
"225",2020-02-07,2020,"Choque","viernes","02","6","NO"
"226",2020-02-07,2020,"Incendio","viernes","02","6","NO"
"227",2020-02-07,2020,"Otro","viernes","02","6","NO"
"228",2020-02-07,2020,"Volcamiento","viernes","02","6","NO"
"229",2020-02-08,2020,"Atropello","sabado","02","6","NO"
"230",2020-02-08,2020,"Caida de Ocupante","sabado","02","6","NO"
"231",2020-02-08,2020,"Choque","sabado","02","6","NO"
"232",2020-02-08,2020,"Incendio","sabado","02","6","NO"
"233",2020-02-08,2020,"Otro","sabado","02","6","NO"
"234",2020-02-08,2020,"Volcamiento","sabado","02","6","NO"
"235",2020-02-09,2020,"Atropello","domingo","02","6","NO"
"236",2020-02-09,2020,"Caida de Ocupante","domingo","02","6","NO"
"237",2020-02-09,2020,"Choque","domingo","02","6","NO"
"238",2020-02-09,2020,"Incendio","domingo","02","6","NO"
"239",2020-02-09,2020,"Otro","domingo","02","6","NO"
"240",2020-02-09,2020,"Volcamiento","domingo","02","6","NO"
"241",2020-02-10,2020,"Atropello","lunes","02","6","NO"
"242",2020-02-10,2020,"Caida de Ocupante","lunes","02","6","NO"
"243",2020-02-10,2020,"Choque","lunes","02","6","NO"
"244",2020-02-10,2020,"Incendio","lunes","02","6","NO"
"245",2020-02-10,2020,"Otro","lunes","02","6","NO"
"246",2020-02-10,2020,"Volcamiento","lunes","02","6","NO"
"247",2020-02-11,2020,"Atropello","martes","02","6","NO"
"248",2020-02-11,2020,"Caida de Ocupante","martes","02","6","NO"
"249",2020-02-11,2020,"Choque","martes","02","6","NO"
"250",2020-02-11,2020,"Incendio","martes","02","6","NO"
"251",2020-02-11,2020,"Otro","martes","02","6","NO"
"252",2020-02-11,2020,"Volcamiento","martes","02","6","NO"
"253",2020-02-12,2020,"Atropello","miercoles","02","7","NO"
"254",2020-02-12,2020,"Caida de Ocupante","miercoles","02","7","NO"
"255",2020-02-12,2020,"Choque","miercoles","02","7","NO"
"256",2020-02-12,2020,"Incendio","miercoles","02","7","NO"
"257",2020-02-12,2020,"Otro","miercoles","02","7","NO"
"258",2020-02-12,2020,"Volcamiento","miercoles","02","7","NO"
"259",2020-02-13,2020,"Atropello","jueves","02","7","NO"
"260",2020-02-13,2020,"Caida de Ocupante","jueves","02","7","NO"
"261",2020-02-13,2020,"Choque","jueves","02","7","NO"
"262",2020-02-13,2020,"Incendio","jueves","02","7","NO"
"263",2020-02-13,2020,"Otro","jueves","02","7","NO"
"264",2020-02-13,2020,"Volcamiento","jueves","02","7","NO"
"265",2020-02-14,2020,"Atropello","viernes","02","7","NO"
"266",2020-02-14,2020,"Caida de Ocupante","viernes","02","7","NO"
"267",2020-02-14,2020,"Choque","viernes","02","7","NO"
"268",2020-02-14,2020,"Incendio","viernes","02","7","NO"
"269",2020-02-14,2020,"Otro","viernes","02","7","NO"
"270",2020-02-14,2020,"Volcamiento","viernes","02","7","NO"
"271",2020-02-15,2020,"Atropello","sabado","02","7","NO"
"272",2020-02-15,2020,"Caida de Ocupante","sabado","02","7","NO"
"273",2020-02-15,2020,"Choque","sabado","02","7","NO"
"274",2020-02-15,2020,"Incendio","sabado","02","7","NO"
"275",2020-02-15,2020,"Otro","sabado","02","7","NO"
"276",2020-02-15,2020,"Volcamiento","sabado","02","7","NO"
"277",2020-02-16,2020,"Atropello","domingo","02","7","NO"
"278",2020-02-16,2020,"Caida de Ocupante","domingo","02","7","NO"
"279",2020-02-16,2020,"Choque","domingo","02","7","NO"
"280",2020-02-16,2020,"Incendio","domingo","02","7","NO"
"281",2020-02-16,2020,"Otro","domingo","02","7","NO"
"282",2020-02-16,2020,"Volcamiento","domingo","02","7","NO"
"283",2020-02-17,2020,"Atropello","lunes","02","7","NO"
"284",2020-02-17,2020,"Caida de Ocupante","lunes","02","7","NO"
"285",2020-02-17,2020,"Choque","lunes","02","7","NO"
"286",2020-02-17,2020,"Incendio","lunes","02","7","NO"
"287",2020-02-17,2020,"Otro","lunes","02","7","NO"
"288",2020-02-17,2020,"Volcamiento","lunes","02","7","NO"
"289",2020-02-18,2020,"Atropello","martes","02","7","NO"
"290",2020-02-18,2020,"Caida de Ocupante","martes","02","7","NO"
"291",2020-02-18,2020,"Choque","martes","02","7","NO"
"292",2020-02-18,2020,"Incendio","martes","02","7","NO"
"293",2020-02-18,2020,"Otro","martes","02","7","NO"
"294",2020-02-18,2020,"Volcamiento","martes","02","7","NO"
"295",2020-02-19,2020,"Atropello","miercoles","02","8","NO"
"296",2020-02-19,2020,"Caida de Ocupante","miercoles","02","8","NO"
"297",2020-02-19,2020,"Choque","miercoles","02","8","NO"
"298",2020-02-19,2020,"Incendio","miercoles","02","8","NO"
"299",2020-02-19,2020,"Otro","miercoles","02","8","NO"
"300",2020-02-19,2020,"Volcamiento","miercoles","02","8","NO"
"301",2020-02-20,2020,"Atropello","jueves","02","8","NO"
"302",2020-02-20,2020,"Caida de Ocupante","jueves","02","8","NO"
"303",2020-02-20,2020,"Choque","jueves","02","8","NO"
"304",2020-02-20,2020,"Incendio","jueves","02","8","NO"
"305",2020-02-20,2020,"Otro","jueves","02","8","NO"
"306",2020-02-20,2020,"Volcamiento","jueves","02","8","NO"
"307",2020-02-21,2020,"Atropello","viernes","02","8","NO"
"308",2020-02-21,2020,"Caida de Ocupante","viernes","02","8","NO"
"309",2020-02-21,2020,"Choque","viernes","02","8","NO"
"310",2020-02-21,2020,"Incendio","viernes","02","8","NO"
"311",2020-02-21,2020,"Otro","viernes","02","8","NO"
"312",2020-02-21,2020,"Volcamiento","viernes","02","8","NO"
"313",2020-02-22,2020,"Atropello","sabado","02","8","NO"
"314",2020-02-22,2020,"Caida de Ocupante","sabado","02","8","NO"
"315",2020-02-22,2020,"Choque","sabado","02","8","NO"
"316",2020-02-22,2020,"Incendio","sabado","02","8","NO"
"317",2020-02-22,2020,"Otro","sabado","02","8","NO"
"318",2020-02-22,2020,"Volcamiento","sabado","02","8","NO"
"319",2020-02-23,2020,"Atropello","domingo","02","8","NO"
"320",2020-02-23,2020,"Caida de Ocupante","domingo","02","8","NO"
"321",2020-02-23,2020,"Choque","domingo","02","8","NO"
"322",2020-02-23,2020,"Incendio","domingo","02","8","NO"
"323",2020-02-23,2020,"Otro","domingo","02","8","NO"
"324",2020-02-23,2020,"Volcamiento","domingo","02","8","NO"
"325",2020-02-24,2020,"Atropello","lunes","02","8","NO"
"326",2020-02-24,2020,"Caida de Ocupante","lunes","02","8","NO"
"327",2020-02-24,2020,"Choque","lunes","02","8","NO"
"328",2020-02-24,2020,"Incendio","lunes","02","8","NO"
"329",2020-02-24,2020,"Otro","lunes","02","8","NO"
"330",2020-02-24,2020,"Volcamiento","lunes","02","8","NO"
"331",2020-02-25,2020,"Atropello","martes","02","8","NO"
"332",2020-02-25,2020,"Caida de Ocupante","martes","02","8","NO"
"333",2020-02-25,2020,"Choque","martes","02","8","NO"
"334",2020-02-25,2020,"Incendio","martes","02","8","NO"
"335",2020-02-25,2020,"Otro","martes","02","8","NO"
"336",2020-02-25,2020,"Volcamiento","martes","02","8","NO"
"337",2020-02-26,2020,"Atropello","miercoles","02","9","NO"
"338",2020-02-26,2020,"Caida de Ocupante","miercoles","02","9","NO"
"339",2020-02-26,2020,"Choque","miercoles","02","9","NO"
"340",2020-02-26,2020,"Incendio","miercoles","02","9","NO"
"341",2020-02-26,2020,"Otro","miercoles","02","9","NO"
"342",2020-02-26,2020,"Volcamiento","miercoles","02","9","NO"
"343",2020-02-27,2020,"Atropello","jueves","02","9","NO"
"344",2020-02-27,2020,"Caida de Ocupante","jueves","02","9","NO"
"345",2020-02-27,2020,"Choque","jueves","02","9","NO"
"346",2020-02-27,2020,"Incendio","jueves","02","9","NO"
"347",2020-02-27,2020,"Otro","jueves","02","9","NO"
"348",2020-02-27,2020,"Volcamiento","jueves","02","9","NO"
"349",2020-02-28,2020,"Atropello","viernes","02","9","NO"
"350",2020-02-28,2020,"Caida de Ocupante","viernes","02","9","NO"
"351",2020-02-28,2020,"Choque","viernes","02","9","NO"
"352",2020-02-28,2020,"Incendio","viernes","02","9","NO"
"353",2020-02-28,2020,"Otro","viernes","02","9","NO"
"354",2020-02-28,2020,"Volcamiento","viernes","02","9","NO"
"355",2020-02-29,2020,"Atropello","sabado","02","9","NO"
"356",2020-02-29,2020,"Caida de Ocupante","sabado","02","9","NO"
"357",2020-02-29,2020,"Choque","sabado","02","9","NO"
"358",2020-02-29,2020,"Incendio","sabado","02","9","NO"
"359",2020-02-29,2020,"Otro","sabado","02","9","NO"
"360",2020-02-29,2020,"Volcamiento","sabado","02","9","NO"
"361",2020-03-01,2020,"Atropello","domingo","03","9","NO"
"362",2020-03-01,2020,"Caida de Ocupante","domingo","03","9","NO"
"363",2020-03-01,2020,"Choque","domingo","03","9","NO"
"364",2020-03-01,2020,"Incendio","domingo","03","9","NO"
"365",2020-03-01,2020,"Otro","domingo","03","9","NO"
"366",2020-03-01,2020,"Volcamiento","domingo","03","9","NO"
"367",2020-03-02,2020,"Atropello","lunes","03","9","NO"
"368",2020-03-02,2020,"Caida de Ocupante","lunes","03","9","NO"
"369",2020-03-02,2020,"Choque","lunes","03","9","NO"
"370",2020-03-02,2020,"Incendio","lunes","03","9","NO"
"371",2020-03-02,2020,"Otro","lunes","03","9","NO"
"372",2020-03-02,2020,"Volcamiento","lunes","03","9","NO"
"373",2020-03-03,2020,"Atropello","martes","03","9","NO"
"374",2020-03-03,2020,"Caida de Ocupante","martes","03","9","NO"
"375",2020-03-03,2020,"Choque","martes","03","9","NO"
"376",2020-03-03,2020,"Incendio","martes","03","9","NO"
"377",2020-03-03,2020,"Otro","martes","03","9","NO"
"378",2020-03-03,2020,"Volcamiento","martes","03","9","NO"
"379",2020-03-04,2020,"Atropello","miercoles","03","10","NO"
"380",2020-03-04,2020,"Caida de Ocupante","miercoles","03","10","NO"
"381",2020-03-04,2020,"Choque","miercoles","03","10","NO"
"382",2020-03-04,2020,"Incendio","miercoles","03","10","NO"
"383",2020-03-04,2020,"Otro","miercoles","03","10","NO"
"384",2020-03-04,2020,"Volcamiento","miercoles","03","10","NO"
"385",2020-03-05,2020,"Atropello","jueves","03","10","NO"
"386",2020-03-05,2020,"Caida de Ocupante","jueves","03","10","NO"
"387",2020-03-05,2020,"Choque","jueves","03","10","NO"
"388",2020-03-05,2020,"Incendio","jueves","03","10","NO"
"389",2020-03-05,2020,"Otro","jueves","03","10","NO"
"390",2020-03-05,2020,"Volcamiento","jueves","03","10","NO"
"391",2020-03-06,2020,"Atropello","viernes","03","10","NO"
"392",2020-03-06,2020,"Caida de Ocupante","viernes","03","10","NO"
"393",2020-03-06,2020,"Choque","viernes","03","10","NO"
